,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
34,Dominik Becker,de GER,DF,Saarbrücken,22-359,2000,5,0,133,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ac1ea87
35,Robin Becker,de GER,MFDF,Dresden,25-350,1997,2,2,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,66b473fd
36,Timo Beermann,de GER,DF,Osnabrück,32-024,1990,12,12,1067,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,8dde7a71
37,Morten Behrens,de GER,GK,SV Waldhof,25-277,1997,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9c273730
38,Semi Belkahia,de GER,DFFW,1860 Munich,24-012,1998,6,3,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7776a35b
39,Ron Berlinski,de GER,FWMF,Rot-Weiss Essen,28-148,1994,15,10,856,9.5,5,1,5,0,0,2,0,0.53,0.11,0.63,0.53,0.63,Matches,02e4b0c6
40,Felix Bernd Wienand,de GER,GK,Rot-Weiss Essen,20-190,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b73f18af
41,Aaron Berzel,de GER,DF,Verl,30-219,1992,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de179fed
42,Paul-Philipp Besong,de GER,FW,Erzgebirge Aue,22-089,2000,13,3,368,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,Matches,77e795dd
43,Julius Biada,de GER,FW,Saarbrücken,30-061,1992,5,1,124,1.4,1,1,1,0,0,2,0,0.73,0.73,1.45,0.73,1.45,Matches,1b87b3f1
44,Tom Bierschenk,de GER,FW,Hallescher,20-174,2002,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10f38207
45,Mateo Biondic,de GER,DF,Verl,19-163,2003,5,0,85,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a3fee532
46,Joshua Bitter,de GER,DF,MSV Duisburg,26-002,1997,13,12,1005,11.2,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches,bbc1271f
47,David Blacha,pl POL,MF,Meppen,32-073,1990,15,15,1212,13.5,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,6b4b1976
48,Lukas Boeder,de GER,DF,Saarbrücken,25-260,1997,8,7,638,7.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,38a69fc5
49,Pelle Boevink,nl NED,GK,VfB Oldenburg,24-362,1998,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a775d6e8
50,Andor Bolyki,de GER,FW,Hallescher,28-119,1994,14,1,333,3.7,1,1,1,0,0,3,0,0.27,0.27,0.54,0.27,0.54,Matches,b6b64d01
51,Jakob Bookjans,de GER,MF,VfB Oldenburg,22-166,2000,11,1,240,2.7,0,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,0f65ef08
52,Elias Bördner,de GER,GK,Viktoria Köln,20-319,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8758ddf4
53,Dennis Borkowski,de GER,MFFW,Dresden,20-342,2002,12,9,720,8.0,2,0,2,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,78b9e99c
54,Timo Bornemann,de GER,FW,Dortmund II,22-033,2000,3,2,126,1.4,1,0,1,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches,3028c437
55,Aziz Bouhaddouz,ma MAR,FWMF,MSV Duisburg,35-279,1987,16,10,1045,11.6,2,0,2,0,0,4,1,0.17,0.00,0.17,0.17,0.17,Matches,2c143d6c
56,Joseph Boyamba,de GER,MF,1860 Munich,26-158,1996,15,7,667,7.4,2,2,1,1,1,3,0,0.27,0.27,0.54,0.13,0.40,Matches,22d86b0d
57,Jayden Braaf,nl NED,FW,Dortmund II,20-125,2002,7,3,266,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c609e90e
