,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
144,Timur Gayret,de GER,MFFW,Hallescher,24-148,1998,16,9,800,8.9,0,2,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,c6fd4984
145,Felix Gebhardt,de GER,GK,Hallescher,20-308,2002,15,15,1350,15.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d6f7261a
146,Jann George,us USA,MFFW,SpVgg Bayreuth,30-156,1992,7,6,447,5.0,1,1,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches,19a60b8f
147,Jann George,us USA,FWMF,Erzgebirge Aue,30-156,1992,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19a60b8f
148,Benjamin Girth,de GER,FW,MSV Duisburg,30-337,1992,2,1,93,1.0,1,0,1,0,0,0,0,0.97,0.00,0.97,0.97,0.97,Matches,e0147851
149,Michael Glück,at AUT,DF,1860 Munich,19-204,2003,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3411417
150,Dave Gnaase,de GER,MFDF,Saarbrücken,26-008,1996,13,8,684,7.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,61f706e3
151,Patrick Göbel,de GER,MF,Zwickau,29-179,1993,17,17,1375,15.3,1,2,1,0,0,1,0,0.07,0.13,0.20,0.07,0.20,Matches,089f1c2e
152,Akaki Gogia,de GER,MF,Dresden,30-350,1992,9,7,575,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,deee6467
153,Gerrit Gohlke,de GER,DF,SV Waldhof,23-297,1999,7,7,475,5.3,1,0,1,0,0,3,1,0.19,0.00,0.19,0.19,0.19,Matches,d825ec58
154,Jakob Golz,de GER,GK,Rot-Weiss Essen,24-140,1998,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b251ee1f
155,Johan Gomez,us USA,FWMF,Zwickau,21-164,2001,15,9,805,8.9,3,0,2,1,1,2,0,0.34,0.00,0.34,0.22,0.22,Matches,2bbe2f33
156,Thijmen Goppel,nl NED,MFDF,Wehen,25-321,1997,11,8,780,8.7,1,3,1,0,0,1,0,0.12,0.35,0.46,0.12,0.46,Matches,45df4830
157,Nico Gorzel,de GER,MFFW,Erzgebirge Aue,24-158,1998,10,4,369,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a06f502
158,Marcel Götz,de GER,DF,SpVgg Bayreuth,26-013,1996,6,4,332,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2659c588
159,Felix Götze,de GER,MFDF,Rot-Weiss Essen,24-326,1998,10,10,750,8.3,2,0,2,0,0,7,0,0.24,0.00,0.24,0.24,0.24,Matches,ee7cdd0c
160,Christoph Greger,de GER,DF,Viktoria Köln,25-354,1997,10,9,780,8.7,0,1,0,0,0,4,1,0.00,0.12,0.12,0.00,0.12,Matches,3c7526e6
161,Fabian Greilinger,de GER,DF,1860 Munich,22-112,2000,9,7,626,7.0,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,350bd5db
162,Adriano Grimaldi,de GER,FW,Saarbrücken,31-273,1991,12,2,325,3.6,3,0,2,1,1,3,0,0.83,0.00,0.83,0.55,0.55,Matches,8ca5bcda
163,Joel Grodowski,de GER,FWMF,Verl,25-034,1997,16,10,896,10.0,3,0,3,0,0,3,0,0.30,0.00,0.30,0.30,0.30,Matches,ee517b5d
164,Alexander Groiß,de GER,MFDF,SpVgg Bayreuth,24-186,1998,12,11,985,10.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,68eed734
165,Julian Günther-Schmidt,de GER,FWMF,Saarbrücken,28-112,1994,17,12,1001,11.1,3,3,1,2,2,1,0,0.27,0.27,0.54,0.09,0.36,Matches,50cfe1f7
166,Ahmet Gürleyen,de GER,DF,Wehen,23-252,1999,14,13,1150,12.8,2,0,2,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,c58a9db7
167,Göktan Gürpüz,de GER,MFFW,Dortmund II,19-346,2003,7,2,267,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,199f7008
168,Julian Guttau,de GER,FWMF,SC Freiburg II,23-066,1999,17,15,1360,15.1,0,3,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches,d9e943d7
169,Maxwell Gyamfi,de GER,DF,Osnabrück,22-350,2000,16,16,1402,15.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,4537a5f9
170,Manuel Haas,at AUT,DF,Osnabrück,26-241,1996,6,2,189,2.1,0,1,0,0,0,2,0,0.00,0.48,0.48,0.00,0.48,Matches,af3f8aa8
171,Simon Handle,at AUT,MFFW,Viktoria Köln,29-343,1993,16,14,1244,13.8,3,3,3,0,0,2,0,0.22,0.22,0.43,0.22,0.43,Matches,16396327
172,Cedric Harenbrock,de GER,MF,Rot-Weiss Essen,24-269,1998,5,2,132,1.5,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bca5b866
173,Phil Harres,de GER,FW,Dresden,20-284,2002,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,07db670d
174,Matthis Harsmann,de GER,GK,Meppen,23-091,1999,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fbeae15e
175,Patrick Hasenhüttl,at AUT,FW,VfB Oldenburg,25-228,1997,9,3,333,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c91008fc
176,Niklas Hauptmann,de GER,MF,Dresden,26-190,1996,5,3,302,3.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7367d26f
177,Jalen Hawkins,de GER,MF,Ingolstadt 04,21-344,2001,14,3,459,5.1,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,8320981e
178,Daniel Heber,de GER,DF,Rot-Weiss Essen,28-183,1994,16,15,1372,15.2,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,242027ec
179,Marc Heider,de GER,FWMF,Osnabrück,36-230,1986,17,10,887,9.9,4,0,4,0,0,2,0,0.41,0.00,0.41,0.41,0.41,Matches,adf4e22b
180,Moritz Heinrich,de GER,MFDF,SpVgg Bayreuth,25-184,1997,15,10,973,10.8,0,2,0,0,0,4,0,0.00,0.18,0.18,0.00,0.18,Matches,d05a7bd4
181,Florian Heister,de GER,DF,Viktoria Köln,25-307,1997,9,1,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b3cdb31
182,Benjamin Hemcke,de GER,MF,Viktoria Köln,19-323,2003,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d566f11a
183,Christoph Hemlein,de GER,MF,Meppen,32-018,1990,13,6,527,5.9,1,2,1,0,0,0,0,0.17,0.34,0.51,0.17,0.51,Matches,83aea392
184,Luke Hemmerich,de GER,DF,SpVgg Bayreuth,24-328,1998,15,12,1111,12.3,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,8b82c866
185,Fabian Herbst,de GER,DF,VfB Oldenburg,22-227,2000,6,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8976ec1e
186,Robert Herrmann,de GER,MFDF,Zwickau,29-146,1993,17,14,1239,13.8,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches,68344c60
187,Felix Herzenbruch,de GER,DF,Rot-Weiss Essen,30-148,1992,12,8,728,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,159e65e3
188,Aaron Herzog,de GER,MF,Hallescher,24-338,1998,17,13,980,10.9,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,565c3fe4
189,Julian Hettwer,de GER,FW,MSV Duisburg,19-202,2003,10,0,174,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f0ac276
190,Robin Heußer,de GER,MF,Wehen,24-225,1998,15,10,932,10.4,0,2,0,0,0,0,1,0.00,0.19,0.19,0.00,0.19,Matches,b99ba43f
191,Felix Higl,de GER,FW,Osnabrück,25-360,1997,16,8,676,7.5,2,1,2,0,0,2,0,0.27,0.13,0.40,0.27,0.40,Matches,eea8b44a
192,Marco Hiller,de GER,GK,1860 Munich,25-317,1997,17,17,1530,17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4bf524cd
193,Marco Hober,de GER,MF,Dortmund II,27-116,1995,4,0,98,1.1,0,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matches,3badec47
194,Marco Höger,de GER,MF,SV Waldhof,33-109,1989,7,7,529,5.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,4114f306
195,Lucas Höler,de GER,FW,SC Freiburg II,28-177,1994,1,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca618d23
196,Benedict Hollerbach,de GER,FW,Wehen,21-231,2001,17,15,1131,12.6,6,1,5,1,1,3,0,0.48,0.08,0.56,0.40,0.48,Matches,2a158218
197,Kevin Holzweiler,de GER,MF,Rot-Weiss Essen,28-079,1994,3,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0720cad3
198,Andi Hoti,xk KVX,DF,SC Freiburg II,19-307,2003,13,12,1041,11.6,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,da1cab65
199,Nico Hug,de GER,MFDF,Hallescher,24-069,1998,15,14,1190,13.2,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,908ca723
200,Elias Huth,de GER,FWMF,Erzgebirge Aue,25-327,1997,11,6,527,5.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,68e1abfd
201,Affamefuna-Michael Ifeadigo,ng NGA,FW,VfB Oldenburg,26-174,1996,4,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c5501bb
202,John Iredale,au AUS,FWMF,Wehen,23-155,1999,12,4,416,4.6,3,1,3,0,0,0,0,0.65,0.22,0.87,0.65,0.87,Matches,83fb76eb
203,Davide Itter,de GER,DF,Osnabrück,23-363,1999,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,05fd6a62
204,Sebastian Jacob,de GER,FWMF,Saarbrücken,29-191,1993,11,10,830,9.2,7,3,7,0,0,0,0,0.76,0.33,1.08,0.76,1.08,Matches,1b2686c2
205,Bjarke Jacobsen,dk DEN,MF,Wehen,29-135,1993,12,9,758,8.4,0,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches,a805fb51
206,Thore Jacobsen,de GER,MF,Elversberg,25-259,1997,16,16,1358,15.1,2,2,0,2,2,6,0,0.13,0.13,0.27,0.00,0.13,Matches,0f163121
207,Caspar Jander,de GER,MF,MSV Duisburg,19-286,2003,12,8,743,8.3,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,81297bf8
208,Tobias Jänicke,de GER,MFFW,Saarbrücken,33-293,1989,17,16,1292,14.4,1,2,1,0,0,2,0,0.07,0.14,0.21,0.07,0.21,Matches,9cc94fb0
209,Laurent Jans,lu LUX,DF,SV Waldhof,30-151,1992,13,13,1141,12.7,1,2,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24,Matches,0fbb73c2
210,Maximilian Jansen,de GER,MF,Zwickau,29-222,1993,15,13,1220,13.6,1,0,1,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches,b5c8fc37
211,Lenn Jastremski,de GER,FWMF,Erzgebirge Aue,21-344,2001,15,7,661,7.3,1,1,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,Matches,a9541447
212,Lee Jihan,kr KOR,FW,SC Freiburg II,19-360,2003,7,1,180,2.0,0,1,0,0,0,2,0,0.00,0.50,0.50,0.00,0.50,Matches,995d0519
213,Antonio Jonjić,de GER,FWMF,Erzgebirge Aue,23-154,1999,2,0,68,0.8,0,1,0,0,0,0,0,0.00,1.32,1.32,0.00,1.32,Matches,497e315f
214,Julius Kade,de GER,MFFW,Dresden,23-228,1999,12,7,646,7.2,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,768a35ac
215,Sotirios Kaissis,de GER,FW,VfB Oldenburg,26-057,1996,8,1,131,1.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,876bba42
216,Abdoulaye Kamara,gn GUI,MFFW,Dortmund II,18-058,2004,7,7,528,5.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5038a16d
217,Claudio Kammerknecht,de GER,DF,Dresden,23-180,1999,15,15,1305,14.5,3,0,3,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,c3a1a7c1
218,Malte Karbstein,de GER,DF,SV Waldhof,24-338,1998,5,4,405,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,764a373b
219,Ole Käuper,de GER,MF,Meppen,25-359,1997,15,12,1047,11.6,1,0,1,0,0,5,2,0.09,0.00,0.09,0.09,0.09,Matches,e5d652c1
220,Cemal Kaymaz,de GER,FW,SpVgg Bayreuth,25-027,1997,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,50795d73
221,Oğuzhan Kefkir,de GER,MFFW,Rot-Weiss Essen,31-129,1991,16,9,916,10.2,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Matches,82c8c849
222,Lars Kehl,de GER,MFFW,SC Freiburg II,20-270,2002,17,13,978,10.9,3,2,3,0,0,3,0,0.28,0.18,0.46,0.28,0.46,Matches,da6753bf
223,Daniel Keita-Ruel,fr FRA,FW,SV Waldhof,33-104,1989,13,3,452,5.0,1,1,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,Matches,6b9fd089
224,Dennis Kempe,de GER,DFMF,Wehen,36-193,1986,1,0,17,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2de1e8f0
225,Luca Kerber,de GER,MF,Saarbrücken,20-299,2002,15,14,1205,13.4,1,2,1,0,0,2,0,0.07,0.15,0.22,0.07,0.22,Matches,c107935c
226,Benedikt Kirsch,de GER,MF,SpVgg Bayreuth,26-263,1996,17,17,1439,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,35140a3a
227,Dominik Klann,de GER,MF,Verl,23-221,1999,5,1,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,20843555
228,Florian Kleinhansl,de GER,DF,Osnabrück,22-145,2000,17,15,1341,14.9,1,2,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,Matches,771a02e3
229,Marius Kleinsorge,de GER,MFDF,Meppen,27-065,1995,8,2,268,3.0,1,0,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches,1e936690
230,Philipp Klewin,de GER,GK,Erzgebirge Aue,29-095,1993,11,10,982,10.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f34d0187
231,Davino Knappe,de GER,MF,SC Freiburg II,19-361,2003,5,1,149,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,d1d38e43
232,Ivan Knezevic,hr CRO,MFFW,Erzgebirge Aue,29-173,1993,8,6,439,4.9,0,1,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,Matches,b7aae4a4
233,Tim Knipping,de GER,DF,Dresden,30-040,1992,16,16,1440,16.0,0,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,ed680d8b
234,Marvin Knoll,de GER,DFFW,MSV Duisburg,32-029,1990,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f3fd179
235,Tobias-Mbunjiro Knost,de GER,DF,Verl,22-240,2000,10,3,386,4.3,1,0,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches,c22a30b9
236,Nico Knystock,de GER,DF,VfB Oldenburg,27-076,1995,12,6,507,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e2d65b23
237,Martin Kobylański,pl POL,MF,1860 Munich,28-301,1994,15,8,561,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,Matches,43d6f1ad
238,Koffi,ci CIV,FW,Elversberg,36-192,1986,17,11,884,9.8,5,4,5,0,0,4,0,0.51,0.41,0.92,0.51,0.92,Matches,813bf6c7
239,Sven Köhler,de GER,MF,Osnabrück,26-056,1996,16,15,1327,14.7,2,0,2,0,0,5,1,0.14,0.00,0.14,0.14,0.14,Matches,3aa9a670
240,Sebastian Kolbe,de GER,GK,SpVgg Bayreuth,26-359,1996,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce40fd8a
241,Niklas Kölle,de GER,DF,MSV Duisburg,23-047,1999,17,13,1201,13.3,1,1,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15,Matches,2c5c7f42
242,Phillip König,de GER,FW,MSV Duisburg,22-287,2000,11,2,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b423507b
243,Ronny König,de GER,FW,Zwickau,39-215,1983,15,10,821,9.1,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,8ce08ed9
244,Mike Könnecke,de GER,MF,Zwickau,34-133,1988,16,13,946,10.5,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,e337f5a7
245,David Kopacz,pl POL,MFFW,Ingolstadt 04,23-219,1999,11,8,711,7.9,1,0,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,302cfdfb
246,Patrick Koronkiewicz,de GER,DFMF,Viktoria Köln,31-296,1991,17,16,1417,15.7,4,4,2,2,2,4,0,0.25,0.25,0.51,0.13,0.38,Matches,0a41093a
247,Dominik Kother,de GER,MFFW,SV Waldhof,22-293,2000,15,5,571,6.3,2,0,2,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,55e2e3e9
248,Mustafa Kourouma,de GER,DF,Rot-Weiss Essen,19-359,2003,6,1,187,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,679deb2b
249,Kamer Krasniqi,xk KVX,MF,VfB Oldenburg,26-357,1996,16,14,1188,13.2,1,4,1,0,0,2,0,0.08,0.30,0.38,0.08,0.38,Matches,b46a9cdb
250,Pius Krätschmer,de GER,DF,Saarbrücken,25-201,1997,12,7,707,7.9,1,1,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches,42c419b5
251,Tobias Kraulich,de GER,DF,Meppen,23-285,1999,11,11,971,10.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64b20513
252,Niklas Kreuzer,de GER,DFMF,Hallescher,29-317,1993,13,13,1103,12.3,3,3,0,3,3,4,1,0.24,0.24,0.49,0.00,0.24,Matches,3bc205b5
253,Nicolas Kristof,de GER,GK,Elversberg,23-014,1999,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a037c229
254,Lukas Krüger,de GER,FW,Zwickau,22-348,2000,13,1,350,3.9,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,b07b7b5d
255,David Kubatta,de GER,DF,Viktoria Köln,19-066,2003,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6fbae8c3
256,Lukas Kübler,de GER,MF,SC Freiburg II,30-126,1992,1,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2a29eb9b
257,Philipp Kühn,de GER,GK,Osnabrück,30-123,1992,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a5a24ce6
258,Max Kulke,de GER,MFFW,Dresden,22-054,2000,8,3,252,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,249d14d4
259,Lukas Kunze,de GER,MF,Osnabrück,24-203,1998,15,10,841,9.3,0,2,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,Matches,b8b4e77e
260,Filip Kusić,rs SRB,DF,Zwickau,26-214,1996,12,12,1015,11.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,de1a2530
261,Stefan Kutschke,de GER,FWMF,Dresden,34-061,1988,16,13,1144,12.7,2,3,1,1,1,5,0,0.16,0.24,0.39,0.08,0.31,Matches,652aa4de
262,Daniel Kyereh,gh GHA,FW,SC Freiburg II,26-301,1996,1,1,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2770726a
263,Park Kyuhyun,kr KOR,DF,Dresden,21-264,2001,5,5,302,3.4,0,1,0,0,0,3,0,0.00,0.30,0.30,0.00,0.30,Matches,88ed2a5e
264,Fynn-Luca Lakenmacher,de GER,FW,1860 Munich,22-238,2000,17,13,1171,13.0,6,3,6,0,0,1,0,0.46,0.23,0.69,0.46,0.69,Matches,d6e36d76
265,Niklas Landgraf,de GER,DFMF,Hallescher,26-308,1996,16,16,1366,15.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,6074f63c
266,Niklas Lang,bb BRB,DF,1860 Munich,20-204,2002,3,2,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c490c344
267,Kevin Lankford,de GER,MF,Viktoria Köln,24-048,1998,14,6,470,5.2,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches,12ecb14e
268,Christopher Lannert,de GER,DF,1860 Munich,24-209,1998,16,13,1101,12.2,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,9a8b40ce
269,Tim Latteier,de GER,MF,SpVgg Bayreuth,22-228,2000,13,5,506,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f662a371
270,Adrien Lebeau,fr FRA,MF,SV Waldhof,23-179,1999,5,3,230,2.6,0,1,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,Matches,ca122e29
271,Paul Lehmann,de GER,FW,Dresden,18-165,2004,2,0,27,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,19c167b4
272,Tan Leka-Schmidt,de GER,DF,SC Freiburg II,20-214,2002,14,12,1118,12.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7d31f1cb
273,Jakob Lewald,de GER,DFMF,Dresden,23-311,1999,7,4,331,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,33b5dccd
274,Stefan Lex,de GER,MFFW,1860 Munich,33-037,1989,13,10,804,8.9,1,4,1,0,0,1,0,0.11,0.45,0.56,0.11,0.56,Matches,b39c06ed
275,Patrick Lienhard,de GER,MFFW,SC Freiburg II,30-218,1992,12,7,567,6.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f69b7904
276,Denis Linsmayer,de GER,MF,Ingolstadt 04,31-106,1991,9,3,403,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9f7a8327
277,Dennis Lippert,de GER,DF,SpVgg Bayreuth,26-317,1996,10,8,674,7.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,53110ef3
278,Arian Llugiqi,de GER,MFFW,Ingolstadt 04,20-071,2002,13,5,502,5.6,0,3,0,0,0,1,0,0.00,0.54,0.54,0.00,0.54,Matches,464e3479
279,Elias Löder,de GER,MF,Hallescher,22-254,2000,12,0,122,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,471c430a
280,Jan Löhmannsröben,de GER,MFDF,Zwickau,31-257,1991,14,11,883,9.8,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,2f7910ac
281,Marcel Lotka,pl POL,GK,Dortmund II,21-223,2001,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5584552e
282,Aurel Loubongo-M'Boungou,de GER,FW,Rot-Weiss Essen,21-198,2001,8,0,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e561656d
283,Arthur Lyska,de GER,GK,Wehen,22-235,2000,9,8,761,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,aa9b545e
284,Stefan Maderer,de GER,FWMF,SpVgg Bayreuth,26-124,1996,10,6,517,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98e5ea8d
285,Sebastian Mai,de GER,DF,MSV Duisburg,29-024,1993,16,16,1440,16.0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,e855706c
286,Erik Majetschak,de GER,MFDF,Erzgebirge Aue,22-308,2000,5,3,269,3.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,156afd6f
287,Jordy Makengo,fr FRA,DF,SC Freiburg II,21-153,2001,15,11,948,10.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,14b09c41
288,Martin Männel,de GER,GK,Erzgebirge Aue,34-293,1988,7,7,548,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eccb22fe
289,Johannes Manske,de GER,FW,Meppen,22-325,2000,10,0,190,2.1,0,1,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,Matches,986c0cad
290,Paul-Vincent Manske,de GER,DF,Meppen,21-143,2001,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86ad4a0f
291,Luca Marseiler,de GER,MF,Viktoria Köln,25-319,1997,6,0,131,1.5,0,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,Matches,a31fbb72
292,Dominik Martinović,de GER,FWMF,SV Waldhof,25-284,1997,16,15,1118,12.4,4,1,4,0,0,1,0,0.32,0.08,0.40,0.32,0.40,Matches,0e27ea58
293,Niklas May,de GER,DF,Viktoria Köln,20-268,2002,14,12,1069,11.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c8dc5cb0
294,Lukas Mazagg,it ITA,DF,Meppen,23-009,1999,5,0,88,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8efa4271
295,Adrian Małachowski,pl POL,MF,SV Waldhof,24-299,1998,9,2,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,675156b9
296,Jonathan Meier,de GER,DFMF,Dresden,23-053,1999,16,12,1199,13.3,0,4,0,0,0,4,0,0.00,0.30,0.30,0.00,0.30,Matches,7fd0352e
297,Robin Meißner,de GER,FW,Viktoria Köln,23-087,1999,16,16,1306,14.5,5,0,4,1,1,1,0,0.34,0.00,0.34,0.28,0.28,Matches,cb75e881
